component,max,mean,p50,p75,p90,p95,policy,resolved_risk_family,row_count
projected_smoothness,0.017500000223517387,0.008750000223517435,0.005833333556850784,0.008750000223517435,0.017500000223517387,0.017500000223517387,family_target_rate_balanced_v1,dry_or_high_vpd,8
projected_low_reversal,0.0,0.0,0.0,0.0,0.0,0.0,family_target_rate_balanced_v1,dry_or_high_vpd,8
projected_energy_proxy,0.0,0.0,0.0,0.0,0.0,0.0,family_target_rate_balanced_v1,dry_or_high_vpd,8
prior_confidence_bonus,0.055999999999999994,0.055999999999999994,0.055999999999999994,0.055999999999999994,0.055999999999999994,0.055999999999999994,family_target_rate_balanced_v1,dry_or_high_vpd,8
risk_static_hold_penalty,0.0,0.0,0.0,0.0,0.0,0.0,family_target_rate_balanced_v1,dry_or_high_vpd,8
rewrite_penalty,0.0,0.0,0.0,0.0,0.0,0.0,family_target_rate_balanced_v1,dry_or_high_vpd,8
uncertainty_penalty,0.0,0.0,0.0,0.0,0.0,0.0,family_target_rate_balanced_v1,dry_or_high_vpd,8
final_score,0.063875000100583,0.05993750010058302,0.058625000100583025,0.05993750010058302,0.063875000100583,0.063875000100583,family_target_rate_balanced_v1,dry_or_high_vpd,8
base_final_score,0.0003749997317792353,0.0003749997317792353,0.0003749997317792353,0.0003749997317792353,0.0003749997317792353,0.0003749997317792353,family_target_rate_balanced_v1,dry_vent,25
raw_smoothness,0.0008333327372869181,0.0008333327372869181,0.0008333327372869181,0.0008333327372869181,0.0008333327372869181,0.0008333327372869181,family_target_rate_balanced_v1,dry_vent,25
raw_low_reversal,0.0,0.0,0.0,0.0,0.0,0.0,family_target_rate_balanced_v1,dry_vent,25
raw_energy_proxy,0.0,0.0,0.0,0.0,0.0,0.0,family_target_rate_balanced_v1,dry_vent,25
projected_smoothness,0.0008333327372869181,0.0008333327372869181,0.0008333327372869181,0.0008333327372869181,0.0008333327372869181,0.0008333327372869181,family_target_rate_balanced_v1,dry_vent,25
projected_low_reversal,0.0,0.0,0.0,0.0,0.0,0.0,family_target_rate_balanced_v1,dry_vent,25
projected_energy_proxy,0.0,0.0,0.0,0.0,0.0,0.0,family_target_rate_balanced_v1,dry_vent,25
prior_confidence_bonus,0.055999999999999994,0.055999999999999994,0.055999999999999994,0.055999999999999994,0.055999999999999994,0.055999999999999994,family_target_rate_balanced_v1,dry_vent,25
risk_static_hold_penalty,0.0,0.0,0.0,0.0,0.0,0.0,family_target_rate_balanced_v1,dry_vent,25
rewrite_penalty,0.0,0.0,0.0,0.0,0.0,0.0,family_target_rate_balanced_v1,dry_vent,25
uncertainty_penalty,0.0,0.0,0.0,0.0,0.0,0.0,family_target_rate_balanced_v1,dry_vent,25
final_score,0.056374999731779285,0.056374999731779285,0.056374999731779285,0.056374999731779285,0.056374999731779285,0.056374999731779285,family_target_rate_balanced_v1,dry_vent,25
base_final_score,0.05108333255102249,0.016590277457402863,0.0003749997317792353,0.049208332551022416,0.049208332551022416,0.049489582551022426,canopy_dew_first_v1,canopy_dew_lt0,18
raw_smoothness,0.008333333780368268,0.0018055555721124149,0.0008333327372869181,0.0041666671137015054,0.0041666671137015054,0.004791667113701514,canopy_dew_first_v1,canopy_dew_lt0,18
raw_low_reversal,0.0,0.0,0.0,0.0,0.0,0.0,canopy_dew_first_v1,canopy_dew_lt0,18
raw_energy_proxy,0.23666666174928352,0.07888888724976117,0.0,0.23666666174928352,0.23666666174928352,0.23666666174928352,canopy_dew_first_v1,canopy_dew_lt0,18
